DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Jul-2026,Rank_Jul-2026
3store,3store,,X_Single,Y_auto,3store,RDF,C,SPARQL,Shared-Everything,Southampton University,GB,2003,2006,"Academic,Open Source",GPL v2,-,,Y,,
4store,4store,4store,Normal,Y_auto,4store,RDF,C,SPARQL,Shared-Nothing,,GB,2009,2024,Open Source,GPL v3,4store/4store,248094,Y,0.19,313
abhot,abhot,,X_Single,Y_auto,abhot,Relational,Java,HTTP / REST,,,CN,2017,2017,"Academic,Open Source",Apache v2,quqiangsheng/abhot,95753144,Y,,
accumulo,accumulo,apache-accumulo,WebsiteExact:Normal,Y_auto,Apache Accumulo,Wide column,Java,"Custom API,Command-line / Shell",Shared-Disk,National Security Agency,US,2008,2022,Open Source,Apache v2,apache/accumulo,2524488,Y,2.54,103
acebase,acebase,acebase,Normal,Y_auto,AceBase,Document,TypeScript,Custom API,"Shared-Everything,Embedded",Ewout Stortenbeker,NL,2018,,"Hobby,Open Source",MIT License,appy-one/acebase,137869753,Y,0.01,379
acedb,acedb,,X_Single,Y_auto,AceDB,,C,,,"Richard M. Durbin, Jean Thierry-Mieg",GB,1989,2018,"Academic,Open Source","GPL v2,LGPL v2",richarddurbin/acedb,,Y,,
actordb,actordb,actordb,Normal,Y_auto,ActorDB,Relational,Erlang,"Custom API,SQL",Shared-Nothing,Biokoda Limited,SI,2014,2022,"Commercial,Open Source",Mozilla Public License 2.0,biokoda/actordb,16109206,Y,0.0,387
aerospike,aerospike,aerospike,Normal,Y_auto,Aerospike,"Key-value,Document,Vector#dbdbio>|<dbengines#Document",C,Custom API,Shared-Nothing,"Aerospike, Inc.",US,2009#dbdbio>|<dbengines#2012,2025,"Commercial,Open Source",AGPL v3 and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,aerospike/aerospike-server,124315604,Y,3.97,72
agatedb,agatedb,,X_Single,Y_auto,AgateDB,Key-value,Rust,Custom API,Embedded,PingCAP,CN,2019,2024,"Industrial Research,Open Source",Apache v2,tikv/agatedb,184227406,Y,,
agedb,agedb,,X_Single,Y_auto,AGEDB,Graph,C,"SQL,Cypher",,AGEDB Technology Ltd.,CA,2019,,"Commercial,Open Source",Apache v2,apache/age,276293034,Y,,
agensgraph,agensgraph,agensgraph,Normal,Y_auto,AgensGraph,"Relational,Key-value,Document,Graph",C,"SQL,Cypher",Shared-Everything,Bitnine Global Inc.,US,2013#dbdbio>|<dbengines#2016,2018,"Commercial,Open Source",Apache v2,skaiworldwide-oss/agensgraph,57401138,Y,0.1,343
aiondb,aiondb,,X_Single,Y_auto,AionDB,"Relational,Graph,Vector",Rust,"SQL,Cypher",Shared-Everything,Ayoub Nabil Boubagrat,,2026,,"Hobby,Open Source",Business Source License,ayoubnabil/aiondb,1237465314,Y,,
akdb,akdb,,X_Single,Y_auto,AKDB,Relational,C,SQL,Shared-Everything,University of Zagreb,HR,2009,2025,"Academic,Educational,Open Source",,minovakovi/akdb,463071559,Y,,
akumuli,akumuli,,X_Single,Y_auto,Akumuli,Relational,C++,Custom API,,,RU,2013,2020,Open Source,Apache v2,akumuli/Akumuli,16326644,Y,,
akutan,akutan,,X_Single,Y_auto,Akutan,RDF,Go,Custom API,Shared-Nothing,eBay Inc.,US,2019,2019,"Industrial Research,Open Source",Apache v2,eBay/akutan,179586596,Y,,
alasql,alasql,alasql,Normal,Y_auto,AlaSQL,"Relational,Document",JavaScript,SQL,,Andrey Gershun & Mathias R. Wulff,RU,2014,,Open Source,MIT License,AlaSQL/alasql,25780780,Y,0.32,278
alchemydb,alchemydb,,X_Single,Y_auto,AlchemyDB,Relational,C,SQL,Shared-Everything,Russell Sullivan,US,2010,2012,"Commercial,Open Source",AGPL v3,JakSprats/Alchemy-Database,858418,Y,,
alenka,alenka,,X_Single,Y_auto,Alenka,Relational,C,SQL,,,US,2012,2017,Open Source,Apache v2,antonmks/Alenka,3927863,Y,,
allocdb,allocdb,,X_Single,Y_auto,AllocDB,Relational,Rust,Custom API,,Francesco Cislaghi,DE,2026,,"Hobby,Open Source",,skel84/allocdb,1179701067,Y,,
altinity,altinity,,X_Single,Y_auto,Altinity,,,,,"Altinity, Inc.",US,2017,,"Commercial,Open Source",Proprietary,Altinity/ClickHouse,,Y,,
amelie,amelie,,X_Single,Y_auto,Amelie,Relational,C,SQL,Shared-Everything,Dmitry Simonenko,CY,2023,,"Hobby,Open Source",AGPL v3,amelielabs/amelie,692348247,Y,,
angstromdb,angstromdb,,X_Single,Y_auto,AngstromDB,Key-value,C,,,Amaury Bouchard,FR,2013,2013,"Hobby,Open Source",Apache v2,Amaury/AngstromDB,12991321,Y,,
annadb,annadb,,X_Single,Y_auto,AnnaDB,Document,Rust,Custom API,Shared-Everything,Roman Right,DE,2021,2023,"Hobby,Open Source",Apache v2,Anna-Team/AnnaDB,522606931,Y,,
anndb,anndb,,X_Single,Y_auto,AnnDB,Vector,Go,HTTP / REST,Shared-Nothing,Marek Galovic,CZ,2020,,"Commercial,Open Source",Apache v2,marekgalovic/anndb,242383787,Y,,
antdb,antdb,antdb,Normal,Y_auto,AntDB,Relational,C,SQL,,AsiaInfo Technologies Limited,CN,,,Commercial,Apache v2,ADBSQL/AntDB,107504377,Y#dbdbio>|<dbengines#N,0.0,387
antfly,antfly,,X_Single,Y_auto,Antfly,"Graph,Vector",Zig,HTTP / REST,Shared-Nothing,"Antfly, Inc.",US,2026,,"Commercial,Open Source",,antflydb/antfly,1182753977,Y,,
antidote,antidote,,X_Single,Y_auto,Antidote,Key-value,Erlang,SQL,,SyncFree European Project,FR,2015,,"Academic,Open Source",Apache v2,AntidoteDB/antidote,17826843,Y,,
anudb,anudb,,X_Single,Y_auto,AnuDB,Document,C++,Custom API,Shared-Everything,Hash Anu,IN,2025,2025,"Hobby,Open Source",MIT License,hash-anu/AnuDB,957143813,Y,,
aodbm,aodbm,,X_Single,Y_auto,AODBM,,C,,,Daniel Waterworth,GB,2011,2011,Open Source,LGPL v3,DanielWaterworth/AODBM,,Y,,
arakoon,arakoon,,X_Single,Y_auto,Arakoon,Key-value,Ocaml,Custom API,Shared-Nothing,Incubaid LLC,BE,2010,2015,Open Source,Apache v2,Incubaid/arakoon,3019304,Y,,
arangodb,arangodb,arangodb,X_Single,Y_auto,ArangoDB,"Key-value,Document,Graph",C++,"Custom API,HTTP / REST,Command-line / Shell",Shared-Nothing,ArangoDB,DE,2011,2023,"Commercial,Open Source",Apache v2,arangodb/arangodb,2649214,Y,,
arcadedb,arcadedb,arcadedb,Normal,Y_auto,ArcadeDB,"Key-value,Document,Graph,Object Oriented",Java,"SQL,Stored Procedures,GraphQL,Gremlin,HTTP / REST",Shared-Nothing,Arcade Data,GB,2021,2026,"Commercial,Open Source",Apache v2.0,ArcadeData/arcadedb,396867188,Y,0.27,292
arcticdb,arcticdb,,X_Single,Y_auto,ArcticDB,Relational,C++,Custom API,Embedded,Man Group plc,GB,2018,,Open Source,Business Source License,man-group/ArcticDB,564689243,Y,,
ardb,ardb,,X_Single,Y_auto,Ardb,Key-value,C++,Custom API,,Yinqi Wen,CN,2013,2019,Open Source,BSD License,yinqiwen/ardb,9048279,Y,,
aresdb,aresdb,,X_Single,Y_auto,AresDB,Relational,"C,C++,Go",Custom API,Shared-Disk,"Uber Technologies, Inc.",US,2018,2020,Open Source,Apache v2,uber/aresdb,149626591,Y,,
ariasql,ariasql,,X_Single,Y_auto,AriaSQL,Relational,Go,"SQL,Stored Procedures,Command-line / Shell",,Alex Gaetano Padula,CA,2024,2024,Open Source,AGPL v3,ariasql/ariasql,757281035,Y,,
